indicator,threshold,horizon_days,hit_rate,avg_return,baseline_hit_rate,baseline_avg_return,edge,n_signals,p_value
RSI_14,20.0,1,0.5547790339157246,0.002649721988704295,0.5268311337198961,0.0007151692978663395,0.02794790019582849,9730,2.310036964134973e-09
RSI_14,20.0,3,0.5917777089143683,0.0057937051741372555,0.5447955626061012,0.0022029447283282415,0.046982146308267136,9681,2.6710647970437915e-12
RSI_14,20.0,5,0.5975483066694369,0.007142090808344272,0.5552861494068612,0.0037124115138581705,0.04226215726257576,9626,1.891147515984299e-07
RSI_14,20.0,10,0.601729291204099,0.008699358982602524,0.5732968532591245,0.007516510058525237,0.02843243794497452,9368,0.17716998088647237
RSI_14,25.0,1,0.5459842064714946,0.001922654578556227,0.526544315741969,0.0007009151037288038,0.019439890729525566,20768,3.5871710452697123e-09
RSI_14,25.0,3,0.5838731509233298,0.0052069743801933435,0.5439892530014961,0.0021404989981558963,0.039883897921833666,20686,6.244563813937246e-20
RSI_14,25.0,5,0.590688416351102,0.00663494246137175,0.5545503510101241,0.0036503703613030517,0.036138065340977965,20598,2.8874259176026163e-12
RSI_14,25.0,10,0.5950425489808034,0.008897845266291223,0.5729011471139345,0.007478032341559353,0.02214140186686897,20212,0.012046251655612423
RSI_14,30.0,1,0.5429084380610413,0.001711034385620869,0.5259871205851858,0.0006675954074800148,0.016921317475855457,38990,2.0739008502619762e-13
RSI_14,30.0,3,0.5733398512877248,0.0045867769796277165,0.543237989183067,0.0020651983522497505,0.030101862104657817,38867,3.1260274082354748e-27
RSI_14,30.0,5,0.5803469998967262,0.005983131028275961,0.5539437659214818,0.003581622247987384,0.026403233975244467,38732,6.617428238439786e-16
RSI_14,30.0,10,0.5869019607843138,0.008741744981541412,0.5726913928624202,0.007431224447882711,0.014210567921893569,38250,0.0009742730952149107
RSI_14,35.0,1,0.539341108939912,0.0014446384108405643,0.5254414952208365,0.0006416672671801749,0.013899613719075554,65504,3.225262444271855e-14
RSI_14,35.0,3,0.565561474406074,0.004059371207521107,0.5425057007765245,0.0019832566657877154,0.02305577362954947,65328,9.854127277156583e-33
RSI_14,35.0,5,0.5774686809137805,0.0058892839450979196,0.552648961196669,0.0034360611970790235,0.0248197197171115,65136,1.4241039244124033e-28
RSI_14,35.0,10,0.5863345570581037,0.00946467008992269,0.5718339584260378,0.007224891119039713,0.014500598632065875,64557,6.455480747623242e-14
RSI_14,40.0,1,0.5367230515414737,0.0012456535773477393,0.524815541338802,0.0006188911566328457,0.011907510202671667,100618,4.884589681383761e-14
RSI_14,40.0,3,0.5587520420767422,0.003491635109900501,0.542157961343123,0.001939229179863872,0.016594080733619232,100388,1.8683819949807734e-29
RSI_14,40.0,5,0.5710562578635192,0.005440010349359399,0.5520166417560844,0.003322027314348437,0.019039616107434765,100146,1.819077108340998e-33
RSI_14,40.0,10,0.5858651845747194,0.00967038960574844,0.5705502981863239,0.006949361812763875,0.01531488638839551,99499,7.957097613108401e-30
MFI_14,20.0,1,0.5513337670787248,0.0022045466708185838,0.5270162298786466,0.0007314972962787984,0.024317537200078232,7685,4.084224808715062e-06
MFI_14,20.0,3,0.5878661087866108,0.005158265868264428,0.5450733799054677,0.002229877691471385,0.04279272888114316,7648,4.4528607031643435e-08
MFI_14,20.0,5,0.5933184269367355,0.006714956221219336,0.5555469357809553,0.0037349883558997926,0.03777149115578027,7603,1.2061074283178104e-05
MFI_14,20.0,10,0.591123701605288,0.008691907425065986,0.5735948083895217,0.007521766737401103,0.01752889321576634,7413,0.19288881829061028
MFI_14,25.0,1,0.5385627646183774,0.0015249910309196968,0.5269824536002244,0.0007257322790158294,0.011580311018152933,17478,7.596538428195208e-05
MFI_14,25.0,3,0.5704031239232801,0.0035733020944488238,0.5448157203658426,0.0022276181610509016,0.025587403557437494,17414,5.836437454201106e-05
MFI_14,25.0,5,0.5747391479794777,0.004502132291918328,0.5554432903276961,0.0037561680843229573,0.019295857651781545,17347,0.08404571457435522
MFI_14,25.0,10,0.5818245737387941,0.007378519824268132,0.5735709505065058,0.007546993440937228,0.008253623232288398,17067,0.7738942762659521
MFI_14,30.0,1,0.5373061177420285,0.0013351583819341958,0.5266159785320842,0.0007088566391211665,0.010690139209944327,34686,1.4638792890537397e-05
MFI_14,30.0,3,0.5625650514629351,0.003324826884025105,0.5444192148789531,0.0021934251282722606,0.018145836583982056,34588,1.7701174960857804e-06
