indicator,horizon_days,n_signals,edge_all,edge_calm,edge_slow_bear,edge_fast_crash,p_value
EMA200_disc >=15.0 + EMA200_disc >=12.0,1,16905,0.004098209929650043,-0.0198316426150974,0.0030533310343364706,-0.006712964243297037,1.53535268831811e-20
EMA200_disc >=15.0 + EMA200_disc >=12.0,3,16893,0.018129725480812597,-0.022729737932229765,0.022483136163833017,-0.014184485254783663,1.7843241053420554e-43
EMA200_disc >=15.0 + EMA200_disc >=12.0,5,16879,0.03249833887097808,-0.02609089722121949,0.04098140455747756,0.014480156845846137,6.111659044773949e-74
EMA200_disc >=15.0 + EMA200_disc >=12.0,10,16833,0.06234474750818597,-0.027256272108279744,0.059290040163698654,0.13865513442982558,2.0800883284389276e-157
EMA200_disc >=15.0 + EMA200_disc >=10.0,1,16905,0.004098209929650043,-0.0198316426150974,0.0030533310343364706,-0.006712964243297037,1.53535268831811e-20
EMA200_disc >=15.0 + EMA200_disc >=10.0,3,16893,0.018129725480812597,-0.022729737932229765,0.022483136163833017,-0.014184485254783663,1.7843241053420554e-43
EMA200_disc >=15.0 + EMA200_disc >=10.0,5,16879,0.03249833887097808,-0.02609089722121949,0.04098140455747756,0.014480156845846137,6.111659044773949e-74
EMA200_disc >=15.0 + EMA200_disc >=10.0,10,16833,0.06234474750818597,-0.027256272108279744,0.059290040163698654,0.13865513442982558,2.0800883284389276e-157
EMA200_disc >=15.0 + BB_pctB <=0.2,1,7285,0.002321597069849357,-0.02525805706307599,0.010081163525210046,-0.03463410752638252,0.00013147538626126338
EMA200_disc >=15.0 + BB_pctB <=0.2,3,7285,0.0195178796140395,-0.018449392022553468,0.04014872214540044,-0.06351801356002795,3.700284087140822e-12
EMA200_disc >=15.0 + BB_pctB <=0.2,5,7281,0.04319411494279457,-0.011988271157497232,0.06848232149559919,-0.03355409636290252,2.634041426554184e-24
EMA200_disc >=15.0 + BB_pctB <=0.2,10,7243,0.05785035299894514,-0.003594387584847203,0.05719675631704124,0.05293304133213217,7.524723887486663e-43
EMA200_disc >=15.0 + Stoch_K <=20.0,1,7363,0.011387807452426846,-0.021753195157770744,0.014098472852920096,-0.002614523686870762,8.026854646279564e-08
EMA200_disc >=15.0 + Stoch_K <=20.0,3,7360,0.018088543598463347,-0.026051484440902217,0.03843370087531661,-0.05780102963424283,3.1468692312543823e-12
EMA200_disc >=15.0 + Stoch_K <=20.0,5,7351,0.03118571942702575,-0.03320429071892517,0.055160429945432465,-0.032444654007966145,4.4651873423342436e-20
