indicator,horizon_days,n_signals,edge_all,edge_calm,edge_slow_bear,edge_fast_crash,p_value
RSI_14 <=20.0,1,9726,0.027961774480337098,0.002430830080867863,0.03259227799482878,0.057795421654205925,2.1184398437845065e-09
RSI_14 <=20.0,3,9677,0.047011581774590416,0.006550169210892132,0.07783536432258276,0.056100314006297225,2.4970313736231768e-12
RSI_14 <=20.0,5,9622,0.04219927333446516,0.004500645415369764,0.07945606271622563,0.025265384766707033,1.7783186367470339e-07
RSI_14 <=20.0,10,9364,0.028474317370077218,0.02363934676884416,0.04687100829867208,-0.049564180018722204,0.17093270025460003
RSI_14 <=25.0,1,20771,0.019146622205965524,-0.002129665200147457,0.030750592248999675,0.030580342485243328,3.6942458390161677e-09
RSI_14 <=25.0,3,20689,0.03988761961409171,0.001563065902471128,0.07630817380688115,0.042131877612964,6.274832202738182e-20
RSI_14 <=25.0,5,20601,0.03610135590247043,6.242379365062334e-05,0.08049921523902503,0.005633452991577803,2.9709006275834762e-12
RSI_14 <=25.0,10,20215,0.02209863558760994,0.015601729732955594,0.04732293388632414,-0.07390948586150592,0.011696720403301483
RSI_14 <=30.0,1,38993,0.01695035416204138,-0.002154778673038482,0.029311683155052615,0.030374212099069098,2.035065985363843e-13
RSI_14 <=30.0,3,38870,0.030156640829745673,0.0005447993918448191,0.06230992941612978,0.01806881642826963,3.2089379146438527e-27
RSI_14 <=30.0,5,38735,0.026384908042796806,-0.0007156031514461425,0.06499501368703564,-0.0235677706774996,6.795553366669125e-16
RSI_14 <=30.0,10,38253,0.014243637152622446,0.008894391500685495,0.034863035529923314,-0.09018559021592931,0.0009688346608453729
RSI_14 <=35.0,1,65504,0.01385385288341523,-0.0013497650263880612,0.02503367562282699,0.022965191718108624,3.4569580080158824e-14
RSI_14 <=35.0,3,65328,0.023027769650560304,-0.0030262861871016566,0.054179258882666614,0.006708672218236678,1.1100447807468009e-32
RSI_14 <=35.0,5,65136,0.024786474248031598,0.000596325731884062,0.06259706184534386,-0.03476021305895971,1.5898469119933117e-28
RSI_14 <=35.0,10,64557,0.014461990008180492,0.005663572941324246,0.03505912988347937,-0.08456291303876007,6.966880679750096e-14
RSI_14 <=40.0,1,100623,0.011926005264639938,6.504877766388972e-05,0.023754496990673002,0.006005333371868815,3.997540728067345e-14
RSI_14 <=40.0,3,100393,0.016636784654440295,-0.0032607024061361845,0.042199226686868596,-0.01214942377126127,1.4966823493200427e-29
RSI_14 <=40.0,5,100151,0.019057292125936653,-0.0017955327701021373,0.055167340818275123,-0.058621231432492316,1.539492595841018e-33
RSI_14 <=40.0,10,99504,0.015287535672144914,0.00457048467769039,0.03639029412274164,-0.08490303764111173,7.461008976081447e-30
MFI_14 <=20.0,1,7676,0.023375740000623035,-0.002466261939303216,0.038855174932695524,0.040172935847673785,6.524414353994403e-06
MFI_14 <=20.0,3,7639,0.041490507121081155,0.011879846567357966,0.0658794642429511,0.03076120863859666,9.984334489618027e-08
MFI_14 <=20.0,5,7594,0.03661336758408962,0.012542511942852608,0.060467007743413625,0.0020715005209188675,1.8866219047205083e-05
MFI_14 <=20.0,10,7404,0.016060164101463714,0.009057861936454303,0.03835298117974828,-0.08053527101601676,0.2923477552275711
MFI_14 <=25.0,1,17470,0.010815867108301735,-0.006429146111309403,0.023775119398495415,0.014062295616527165,0.00015170726836944283
MFI_14 <=25.0,3,17406,0.024238066277218695,-0.005106486386983522,0.060697701241016144,-0.007946676122374652,0.00016960736235731473
MFI_14 <=25.0,5,17339,0.01861434533652684,-0.0033548048344554937,0.05426828305625275,-0.051411136135551705,0.1307175998008831
MFI_14 <=25.0,10,17059,0.007499507583414333,0.0019165812707999663,0.03484614604870684,-0.11987869652598337,0.5937384959812859
MFI_14 <=30.0,1,34721,0.010189174162302805,-0.0036237285850126977,0.019822773957406614,0.014492360997240938,2.4377468279091235e-05
MFI_14 <=30.0,3,34621,0.017276709355041553,-0.006762842798479718,0.04824976126017255,-0.01823436731376593,5.719072395929159e-06
MFI_14 <=30.0,5,34512,0.014081951049999986,-0.00465314115536275,0.0469742215644956,-0.06436182423520853,0.07866466782580532
MFI_14 <=30.0,10,34127,0.0053563206448762335,-0.005796114988919521,0.0346522798731681,-0.10777364489906105,0.8186898468682313
MFI_14 <=35.0,1,60965,0.009836711028177958,-0.0020934543652346704,0.021080499180683998,0.007551381019657133,1.5031452339725244e-07
MFI_14 <=35.0,3,60824,0.016593360515850142,-0.004686368059579893,0.045693224844680524,-0.015947809959719117,1.697972811380513e-12
MFI_14 <=35.0,5,60672,0.01532837917551555,-0.002393237142417237,0.046236585945701236,-0.05681843272549403,3.236922316131384e-07
MFI_14 <=35.0,10,60195,0.008057367859848008,-0.004119783379260555,0.03768006486902786,-0.10341220406834473,0.0002745308134867946
Williams_R <=-80.0,1,76171,0.012920189907731361,0.003956567383058496,0.009621429444432672,0.044786090194222195,2.5205901384332762e-11
Williams_R <=-80.0,3,76075,0.009337524729377322,0.00022582071955545846,0.0043298372436916255,0.016234565812592527,2.007310863330182e-14
Williams_R <=-80.0,5,75974,0.013684400883008152,-0.0012623520636755314,0.026940243537016628,-0.019376168780951608,4.712486435088675e-33
Williams_R <=-80.0,10,75354,0.014865159819371643,0.010744065397854441,0.0229151411743741,-0.07836297526031566,1.2760684025503214e-40
Williams_R <=-85.0,1,57383,0.011776695301220053,0.0015925219709165273,0.008135051289587247,0.042498658032357306,9.137877777776426e-11
Williams_R <=-85.0,3,57323,0.008419978567967501,-0.0005273556487835895,0.002824491833251286,0.00871988477936303,1.0922861829045807e-10
Williams_R <=-85.0,5,57261,0.012513643920358142,-0.0019701441784036877,0.024353273471675485,-0.024553245733038076,2.1582447160469266e-26
Williams_R <=-85.0,10,56717,0.01547976563718001,0.014164369717829972,0.020021009350982943,-0.07658861872402756,1.0399051800015899e-32
Williams_R <=-90.0,1,38407,0.010339947833931107,-0.003865694741907233,0.009616101988151993,0.035231117617659624,4.24104178637446e-09
Williams_R <=-90.0,3,38382,0.005950513432627091,-0.003049185155501566,-0.0025374638868391752,0.0042712862178623245,1.0854998940003058e-05
Williams_R <=-90.0,5,38359,0.012569729746658376,-0.004628470378255756,0.025363666303971688,-0.02233139979743215,2.3739942473487566e-16
Williams_R <=-90.0,10,37912,0.017370881765640278,0.014907994018073745,0.02310155041668238,-0.06500054277365286,1.0618995794610497e-23
BB_pctB <=0.05,1,30813,0.018410726646200692,0.0036853531517428983,0.007724485964796024,0.049996743448705194,1.0945628930452504e-11
BB_pctB <=0.05,3,30811,0.00972443418890645,-0.005084354933828084,0.0009012124826078827,0.016277612133074104,0.00019752827984845348
BB_pctB <=0.05,5,30799,0.015157591977208451,0.001625314443418402,0.023010799708474083,-0.02482842475974778,1.611654706081676e-10
BB_pctB <=0.05,10,30474,0.02223739504963851,0.01571055827146972,0.04515537003909098,-0.07159813649374513,2.1976627352819816e-14
